date,debt
4/14/2013,42
4/21/2013,43
4/28/2013,43
5/5/2013,41
5/12/2013,39
5/19/2013,37
5/26/2013,35
6/2/2013,35
6/9/2013,36
6/16/2013,35
6/23/2013,35
6/30/2013,32
7/7/2013,35
7/14/2013,37
7/21/2013,39
7/28/2013,37
8/4/2013,37
8/11/2013,37
8/18/2013,36
8/25/2013,37
9/1/2013,37
9/8/2013,39
9/15/2013,41
9/22/2013,46
9/29/2013,63
10/6/2013,77
10/13/2013,100
10/20/2013,46
10/27/2013,42
11/3/2013,40
11/10/2013,42
11/17/2013,42
11/24/2013,34
12/1/2013,41
12/8/2013,39
12/15/2013,32
12/22/2013,24
12/29/2013,31
1/5/2014,39
1/12/2014,40
1/19/2014,40
1/26/2014,43
2/2/2014,43
2/9/2014,45
2/16/2014,41
2/23/2014,42
3/2/2014,42
3/9/2014,40
3/16/2014,41
3/23/2014,40
3/30/2014,41
4/6/2014,41
4/13/2014,40
4/20/2014,42
4/27/2014,42
5/4/2014,40
5/11/2014,39
5/18/2014,40
5/25/2014,35
6/1/2014,36
6/8/2014,39
6/15/2014,36
6/22/2014,34
6/29/2014,33
7/6/2014,37
7/13/2014,37
7/20/2014,38
7/27/2014,38
8/3/2014,37
8/10/2014,37
8/17/2014,35
8/24/2014,34
8/31/2014,33
9/7/2014,38
9/14/2014,39
9/21/2014,36
9/28/2014,40
10/5/2014,38
10/12/2014,37
10/19/2014,38
10/26/2014,38
11/2/2014,41
11/9/2014,39
11/16/2014,40
11/23/2014,32
11/30/2014,43
12/7/2014,40
12/14/2014,36
12/21/2014,24
12/28/2014,28
1/4/2015,37
1/11/2015,39
1/18/2015,41
1/25/2015,44
2/1/2015,44
2/8/2015,42
2/15/2015,41
2/22/2015,42
3/1/2015,40
3/8/2015,39
3/15/2015,41
3/22/2015,40
3/29/2015,40
4/5/2015,38
4/12/2015,42
4/19/2015,42
4/26/2015,41
5/3/2015,40
5/10/2015,40
5/17/2015,38
5/24/2015,36
5/31/2015,38
6/7/2015,37
6/14/2015,40
6/21/2015,41
6/28/2015,60
7/5/2015,59
7/12/2015,48
7/19/2015,40
7/26/2015,37
8/2/2015,39
8/9/2015,39
8/16/2015,37
8/23/2015,39
8/30/2015,37
9/6/2015,36
9/13/2015,40
9/20/2015,39
9/27/2015,39
10/4/2015,41
10/11/2015,41
10/18/2015,41
10/25/2015,43
11/1/2015,43
11/8/2015,40
11/15/2015,40
11/22/2015,34
11/29/2015,40
12/6/2015,38
12/13/2015,38
12/20/2015,26
12/27/2015,31
1/3/2016,40
1/10/2016,44
1/17/2016,42
1/24/2016,44
1/31/2016,49
2/7/2016,46
2/14/2016,86
2/21/2016,57
2/28/2016,50
3/6/2016,50
3/13/2016,45
3/20/2016,44
3/27/2016,43
4/3/2016,48
4/10/2016,48
4/17/2016,45
4/24/2016,47
5/1/2016,48
5/8/2016,47
5/15/2016,45
5/22/2016,41
5/29/2016,39
6/5/2016,50
6/12/2016,38
6/19/2016,42
6/26/2016,38
7/3/2016,39
7/10/2016,40
7/17/2016,43
7/24/2016,45
7/31/2016,42
8/7/2016,39
8/14/2016,40
8/21/2016,43
8/28/2016,41
9/4/2016,42
9/11/2016,45
9/18/2016,43
9/25/2016,50
10/2/2016,46
10/9/2016,47
10/16/2016,50
10/23/2016,46
10/30/2016,46
11/6/2016,55
11/13/2016,49
11/20/2016,41
11/27/2016,48
12/4/2016,48
12/11/2016,43
12/18/2016,36
12/25/2016,32
1/1/2017,42
1/8/2017,49
1/15/2017,50
1/22/2017,52
1/29/2017,50
2/5/2017,47
2/12/2017,47
2/19/2017,51
2/26/2017,55
3/5/2017,50
3/12/2017,48
3/19/2017,47
3/26/2017,47
4/2/2017,48
4/9/2017,45
4/16/2017,48
4/23/2017,48
4/30/2017,49
5/7/2017,47
5/14/2017,46
5/21/2017,43
5/28/2017,43
6/4/2017,42
6/11/2017,43
6/18/2017,42
6/25/2017,43
7/2/2017,41
7/9/2017,43
7/16/2017,43
7/23/2017,44
7/30/2017,47
8/6/2017,43
8/13/2017,42
8/20/2017,44
8/27/2017,41
9/3/2017,45
9/10/2017,46
9/17/2017,46
9/24/2017,46
10/1/2017,46
10/8/2017,45
10/15/2017,47
10/22/2017,46
10/29/2017,44
11/5/2017,45
11/12/2017,47
11/19/2017,39
11/26/2017,48
12/3/2017,48
12/10/2017,45
12/17/2017,41
12/24/2017,32
12/31/2017,40
1/7/2018,46
1/14/2018,46
1/21/2018,47
1/28/2018,48
2/4/2018,52
2/11/2018,49
2/18/2018,47
2/25/2018,48
3/4/2018,47
3/11/2018,46
3/18/2018,47
3/25/2018,45
4/1/2018,47
4/8/2018,40
